CV i vs E	0.1 Scan Rate of FCA. 
V	µA
1.110079288	38.25995922
1.10007906	37.96620369
1.090079308	37.60995865
1.080079079	37.31620312
1.07007885	37.02869415
1.060078621	36.79118156
1.050078392	36.49117947
1.040078163	36.24117374
1.030078411	35.99116802
1.020078182	35.75367928
1.010077953	35.52241325
1.000077724	35.30991077
0.990077496	35.05365849
0.980077267	34.84740257
0.970077515	34.61616039
0.960077286	34.40990448
0.950077057	34.197402
0.940076828	33.97865295
0.930076599	33.72240067
0.92007637	33.47239494
0.910076618	33.17863941
0.900076389	32.8536272
0.89007616	32.49111176
0.880075932	32.0473671
0.870075703	31.52861595
0.860075474	30.84733486
0.850075245	29.99107838
0.840075493	28.84106636
0.830075264	27.42228508
0.820075035	25.46601295
0.810074806	22.92847633
0.800074577	19.5846796
0.790074348	15.27211666
0.780074596	9.734511375
0.770074368	3.003168106
0.760074139	-4.703187943
0.75007391	-13.22207451
0.740073681	-22.00971842
0.730073452	-30.76609373
0.7200737	-38.82871866
0.710073471	-45.57257891
0.700073242	-50.40389299
0.690073013	-53.07893753
0.680072784	-53.68520021
0.670072556	-52.5539279
0.660072327	-50.29764175
0.650072575	-47.40384817
0.640072346	-44.27880049
0.630072117	-41.21000767
0.620071888	-38.29746246
0.610071659	-35.62867641
0.60007143	-33.25363398
0.590071678	-31.07860088
0.580071449	-29.15982008
0.57007122	-27.40979195
0.560070992	-25.87227821
0.550070763	-24.52225685
0.540070534	-23.27222824
0.530070782	-22.14096785
0.520070553	-21.09719515
0.510070324	-20.1846838
0.500070095	-19.30967569
0.490069866	-18.52215528
0.480069637	-17.8471446
0.470069885	-17.15339422
0.460069656	-16.5096283
0.450069427	-15.95337391
0.440069199	-15.40961266
0.43006897	-14.9158597
0.420068741	-14.40960169
0.410068512	-13.97209167
0.40006876	-13.5720849
0.390068531	-13.16583157
0.380068302	-12.79082298
0.370068073	-12.4158144
0.360067844	-12.09081411
0.350067616	-11.79081202
0.340067863	-11.50954962
0.330067635	-11.22205257
0.320067406	-10.99079847
0.310067177	-10.76579094
0.300066948	-10.54704189
0.290066719	-10.30328274
0.280066967	-10.14077663
0.270066738	-9.940779209
0.260066509	-9.759521484
0.25006628	-9.615778923
0.240066051	-9.509527683
0.230065823	-9.359514713
0.220065594	-9.234523773
0.210065842	-9.153270721
0.200065613	-9.065771103
0.190065384	-8.953261375
0.180065155	-8.903264999
0.170064926	-8.847010136
0.160064697	-8.784508705
0.150064945	-8.75326395
0.140064716	-8.709514141
0.130064487	-8.703255653
0.120064259	-8.659505844
0.11006403	-8.640754223
0.100063801	-8.622014523
0.08006382	-8.621014523
0.070063591	-8.597004414
0.040062904	-8.590757847
0.030063152	-8.553254604
0.020062923	-8.559513092
0.010062695	-8.572006226
